place_id,name,price_level_combined,user_ratings_total,combined_rating,geometry.location.lat,geometry.location.lng,combined_main_category,sub_category,district,district_cluster,combined_main_category_2
ChIJn1Z7BChljEcRnhmEWED0F90,Bap,3.0,324.0,4.0,46.2068339,6.1420743,Other Asian,Korean,Grottes Saint-Gervais,21,Asian
ChIJWwA7_SdljEcRa3I4XN2ipUs,SUSHIZEN Manor Genève,4.0,7.0,3.0,46.2073955,6.1424287,General / Fast food / Snacks / Take Away,Take Away,Grottes Saint-Gervais,21,Fast Food
ChIJRc7xc05ljEcRwXg5wRy7lUk,Coffee & Bagel,2.0,4.0,4.8,46.2073543,6.1424118,General / Café,,Grottes Saint-Gervais,21,General
ChIJwX0fjpFljEcRzRhC8eOuTcs,Manora Restaurant Genève,2.0,228.0,4.2,46.2073955,6.1424421,"French, Swiss, European",,Grottes Saint-Gervais,21,European
ChIJ21nu8CdljEcRTcdOHbXBCtU,Âge d'Or,3.0,579.0,3.8,46.2080264,6.1422566,Pizza,,Grottes Saint-Gervais,21,Fast Food
ChIJYSNvkudljEcRYjHGtPu_UPs,La Maison du Sandwich - Manor - Arrêt Coutance,4.0,15.0,5.0,46.2076783,6.1425666,General / Fast food / Snacks / Take Away,Sandwich / Snacks,Grottes Saint-Gervais,21,Fast Food
ChIJrWXzAXVljEcRNgbYW85bEmQ,Bamee Resto,2.0,26.0,3.6,46.2077711,6.1427128,Other Asian,Vietnamese,Grottes Saint-Gervais,21,Asian
ChIJfVQCnCdljEcRLGHWpssJND0,Pret A Manger,4.0,143.0,3.4,46.2102573,6.1423644,General / Fast food / Snacks / Take Away,Sandwich / Snacks,Grottes Saint-Gervais,19,Fast Food
ChIJyeg7h9hkjEcRvbaoLxTqwZk,Il Forno,4.0,6.0,3.2,46.2098561,6.1419357,Pizza,,Grottes Saint-Gervais,19,Fast Food
ChIJx_FHgNhkjEcRauy2aD_83JU,Burger King,3.0,1521.0,3.7,46.209811,6.142217,"Hamburger, American",,Grottes Saint-Gervais,19,"Hamburger, American"
ChIJl4UtgdhkjEcRNuUSuBjPslA,Greens,,,,46.2098114,6.1422168,General / Fast food / Snacks / Take Away,Sandwich / Snacks,Grottes Saint-Gervais,19,Fast Food
ChIJK2-ufydljEcRo_GcpaVK4WM,Sushi Corner,,,,46.2098978,6.1423859,Japanese,Sushi,Grottes Saint-Gervais,19,Asian
ChIJUX8nuidljEcR3WbrYoUS57I,Urban Waffle Club Express - Cornavin CFF,4.0,9.0,5.0,46.2101824,6.1424171,General / Fast food / Snacks / Take Away,Take Away,Grottes Saint-Gervais,19,Fast Food
ChIJc8evaypljEcRp1gnheuXvns,Olio'basilico,4.0,82.0,4.4,46.2115173,6.142255,Italian,,Grottes Saint-Gervais,19,European
ChIJ-2CsVN9kjEcRvvoEpjQ61So,Lo'13'To,3.0,2.0,5.0,46.2120691,6.1424662,General / Restaurant,,Grottes Saint-Gervais,19,General
ChIJ5U-aVN9kjEcRazdAG8b3zlA,Café Restaurant pizzeria l'Union,4.0,49.0,4.4,46.2121896,6.142503,Pizza,,Grottes Saint-Gervais,19,Fast Food
ChIJu9o4VN9kjEcRHgBxxzNPc3c,"Café - restaurant ""Chez Lili""",3.0,116.0,4.3,46.212319,6.1425269,"Swiss, European",,Grottes Saint-Gervais,19,European
ChIJgdPAsjhljEcRSfhCpYmnYKs,Restaurant Montbrillant,2.0,19.0,3.9,46.2142829,6.1420793,General / Restaurant,,Grottes Saint-Gervais,19,General
ChIJmSOuc-BkjEcRKXMjqefAAO0,L'Europa,3.0,140.0,4.4,46.2173297,6.1424093,"Italian, Pizza",,Pâquis Sécheron,27,Fast Food
ChIJOV9VVeFkjEcRF7b-e16HiGQ,Salsabeel,2.0,169.0,4.1,46.2204594,6.1426604,Indian,,Pâquis Sécheron,27,Asian
ChIJS3suVNd6jEcRWQSRrLi213w,Destino,3.0,413.0,4.3,46.188171,6.1427821,Italian,,La Cluse - Philosophes,30,European
ChIJMdOaTdd6jEcRVpQhVUu5r3o,L’Olivo Sàrl,4.0,1.0,5.0,46.1886731,6.1432116,General / Restaurant,,La Cluse - Philosophes,30,General
ChIJic7jTNd6jEcRDKTOdTdf5Jw,Desi Palace,4.0,125.0,4.5,46.1888086,6.1432601,Indian,,La Cluse - Philosophes,30,Asian
ChIJvzCAStd6jEcREe6NYJjUT8s,Sadullah Bozan Chez Tonton,4.0,1.0,2.0,46.1891968,6.1433804,General / Restaurant,,La Cluse - Philosophes,30,General
ChIJdcgDWNh7jEcRCqMV6vnYlzE,Poya bar R.,4.0,13.0,4.4,46.1893932,6.1430405,General / Bar / Pub / Bistro,,La Cluse - Philosophes,30,General
ChIJVXR9qJ17jEcRiPEGVSAB4nA,Acropolis streetfood,4.0,38.0,4.9,46.1894622,6.1429855,All Other,Greek,La Cluse - Philosophes,30,All Other
ChIJrdSYttB6jEcRrwx23hkN4-I,I' Tacos,4.0,68.0,3.7,46.189177,6.1433197,Mexican,Taco,La Cluse - Philosophes,30,American
ChIJw10LNdd6jEcRQUXT7zUiXrA,Kimchi,3.0,242.0,4.2,46.1893186,6.1433633,Other Asian,Korean,La Cluse - Philosophes,30,Asian
ChIJvWdsGNd6jEcRQJyJlPEIANc,Clair Bois-Minoteries,4.0,41.0,4.2,46.189992,6.142156,General / Restaurant,,La Cluse - Philosophes,30,General
ChIJb3CKjtpkjEcRBvCB2pRWlrQ,Restaurant Erythreen Et Pizzeria,,,,46.2085397,6.1331467,African,Eritrean,Grottes Saint-Gervais,20,Middle Eastern & African
ChIJvWdsGNd6jEcRXAXslmEYtIY,Clair d'Arve,2.0,20.0,4.5,46.1901148,6.1422096,"Swiss, French, European",,La Cluse - Philosophes,30,European
ChIJ9XEjLdd6jEcRBjFAnYZ_N5w,Rajpoute,3.0,196.0,4.2,46.1900227,6.1435461,Indian,,La Cluse - Philosophes,30,Asian
ChIJ-c4wK9F6jEcREzwRMjNL79U,PizzaLand 10,2.0,265.0,4.0,46.1903163,6.1436926,Pizza,,La Cluse - Philosophes,30,Fast Food
ChIJj6pCPi57jEcRPEkoa5AKZJg,MLC Librairie café littéraire Sàrl,4.0,7.0,4.6,46.1906455,6.1433372,General / Restaurant,,La Cluse - Philosophes,30,General
ChIJ-c4wK9F6jEcRLRWlLfbOeQE,Mékong,2.0,116.0,4.1,46.1902009,6.1436179,Other Asian,Vietnamese,La Cluse - Philosophes,30,Asian
ChIJaUhcK9d6jEcRdVURLY3RtFw,"Capa Negra, ARIFI Servet",2.0,86.0,4.4,46.1900869,6.1436918,Turkish,,La Cluse - Philosophes,30,Middle Eastern & African
ChIJew1eVER7jEcRlGxbkD3uRIU,L'Aubépine Café,2.0,25.0,4.7,46.1902265,6.1437316,General / Café,,La Cluse - Philosophes,30,General
ChIJ0Ynu6dZ6jEcRQDCVoDYJZsw,Swiss Franchise Management Sa,4.0,1.0,3.0,46.191287,6.1422905,General / Restaurant,,La Cluse - Philosophes,30,General
ChIJj3RdztZ6jEcRjcjnwHtmoOA,Restaurant Le VG,3.0,263.0,4.2,46.1911318,6.1435995,"French, Swiss, European",,La Cluse - Philosophes,30,European
