,name,place_id,types,price_level,rating,user_ratings_total,vicinity,plus_code.global_code,geometry.location.lat,geometry.location.lng
279,L'etna cuisine maison,ChIJw_ySAZJljEcRLoYQacibisQ,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.4,37,"Quai du Seujet 20, Genève",8FR8644P+45,46.2052783,6.1354668
280,Chez Roger,ChIJzZsiddpkjEcRm2Bo8td6tRY,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.3,153,"Rue des Délices 18, Genève",8FR8645M+4W,46.2078108,6.1346984
281,Maison Hobo Restaurant & Lounge,ChIJ43aJHztljEcRRkFhTmpp_HM,"['restaurant', 'night_club', 'bar', 'food', 'point_of_interest', 'establishment']",,3.9,187,"Quai du Seujet 18, Genève",8FR8644P+45,46.2052724,6.1354584
282,Maison Ichi,ChIJGdEVapVljEcROgJ0Rj41ZMU,"['store', 'restaurant', 'food', 'point_of_interest', 'establishment']",,4.6,36,"Rue Voltaire 22, Genève",8FR8645P+7M,46.2081261,6.1366731
283,The Tacos Factory,ChIJSRr5-dlkjEcReQY3guLqVb0,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.3,510,"Rue Voltaire 22, Genève",8FR8645P+7M,46.2081752,6.1366954
284,O Paraiso,ChIJJXmfktlkjEcRVk2tVnhe0js,"['restaurant', 'point_of_interest', 'food', 'establishment']",2,4.3,141,"Rue de Lyon 42, Genève",8FR8645M+GG,46.2087799,6.1337522
285,Casa Benfica Genève,ChIJBRpZ3SNljEcRsltO0x2VWdI,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,4.3,95,"Rue de Vermont 9A, Genève",8FR8648M+9F,46.2158811,6.1336583
286,Mama & Zita,ChIJgTAh6u5ljEcRl9PXMB5yPJA,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4.5,130,"Chemin Camille-Vidart 13, Geneva",8FR8649P+RR,46.219567,6.1370541
287,lerestaurnt,ChIJVwbinQhljEcRYNW0YkNbCz8,"['restaurant', 'point_of_interest', 'food', 'establishment']",,5,1,"Av. de la Paix 17, Genève",8FR864HP+2M,46.2274968,6.1369539
288,La Vie des Champs,ChIJrcqVYPpkjEcRdQXb7R4jqIo,"['restaurant', 'park', 'food', 'point_of_interest', 'establishment']",2,4.7,167,"La Vy-des-Champs 15, Genève",8FR864HP+QM,46.2294255,6.1366652
289,"La Fumisterie, Chez Ernest",ChIJh1SeuHx7jEcR6FAfM-YRwuk,"['restaurant', 'point_of_interest', 'food', 'establishment']",,4,313,"Rue des Noirettes 21, Carouge",8FR854QM+FV,46.1887945,6.1345813
290,Il Salento,ChIJ-_ZIzCl7jEcRplQjChrMXKs,"['restaurant', 'food', 'point_of_interest', 'establishment']",,4.4,200,"Rue du Grand-Bureau 6, Genève",8FR854RP+8W,46.1909515,6.1371952
291,WING'S BAR,ChIJkaAI3Sl7jEcRtS3AcbsGtDY,"['restaurant', 'food', 'point_of_interest', 'establishment']",,3.8,26,"Rue du Lièvre 4, Genève",8FR854RQ+M4,46.1917179,6.1378788
292,L'apotheose Sàrl,ChIJZfYTuSl7jEcRNou1Sil0VXo,"['restaurant', 'food', 'point_of_interest', 'establishment']",,0,0,"Section de mathématiques, Rte des Acacias 18, Genève",8FR854RP+JM,46.1916719,6.136667
293,71 Bar Restaurant,ChIJbS42xCp7jEcRvLOhhc1AOf4,"['restaurant', 'point_of_interest', 'food', 'establishment']",,4.8,50,"Bd Carl-Vogt 71, Genève",8FR854WQ+V3,46.1971754,6.1377268
294,Café Restaurant de la Radio,ChIJm38vxyp7jEcRfBpsFHYVKrA,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,4.1,199,"Bd Carl-Vogt 73, Genève",8FR854WQ+R5,46.1969905,6.1379177
295,Eurest / Restaurant RTS,ChIJgfXOy-B7jEcRdwV7GTk9w_s,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,0,0,"Quai Ernest-Ansermet 20, Genève",8FR854WP+G9,46.1962736,6.1358648
296,Sushi Bento Bar,ChIJvVtLwyp7jEcR-Zc380j15KE,"['restaurant', 'food', 'point_of_interest', 'establishment']",,0,0,"Pass. de la Radio, Genève",8FR854WP+RX,46.1968346,6.1377735
